"Line","Fields","Drug","MechAr"
"3757","Mechanism, Effect","'Ethanol', 'Chlorpropamide', InteractionType.DRUG_DRUG, InteractionSev","'يُحدث تفاعل شبيه بالديسولفيرام (توهج، غثيان، تعرق، تسارع قل"
"3766","Mechanism, Effect","'Ethanol', 'Furazolidone', InteractionType.DRUG_DRUG, InteractionSever","'ردود فعل مشابهة لتلك التي تحدث مع المعالجة بالديسولفيرام',"
"3775","Effect, Management","'Ethanol', 'Glutethimide', InteractionType.DRUG_DRUG, InteractionSever",""
"3777","Mechanism, Effect","'Ethanol', 'Insulin', InteractionType.DRUG_DRUG, InteractionSeverity.M","'يُزيد من تأثير خفض سكر الدم',"
"3786","Effect, Management","'Ethanol', 'Meprobamate', InteractionType.DRUG_DRUG, InteractionSeveri",""
"3788","Mechanism, Effect","'Ethanol', 'Metronidazole', InteractionType.DRUG_DRUG, InteractionSeve","'ردود فعل مشابهة لتلك التي تحدث مع المعالجة بالديسولفيرام',"
"3797","Effect, Management","'Ethanol', 'Phenothiazine', InteractionType.DRUG_DRUG, InteractionSeve",""
"3799","Mechanism, Effect","'Ethanol', 'Sulfonylurea', InteractionType.DRUG_DRUG, InteractionSever","'قد يحدث هبوط سكر الدم - ردود فعل مشابهة لتلك التي تحدث مع ا"
"3818","Management","'Ethinylestradiol/Desogestrel', 'Azithromycin', InteractionType.DRUG_D",""
"3820","Effect, Management","'Ethinylestradiol/Desogestrel', 'Rifampicin', InteractionType.DRUG_DRU",""
"3822","Mechanism, Effect","'Ethinylestradiol/Desogestrel', 'Carbamazepine', InteractionType.DRUG_","'تحفيز إنزيمات الكبد',"
"3841","Management","'Ethinylestradiol/Drospirenone', 'Azithromycin', InteractionType.DRUG_",""
"3843","Effect, Management","'Ethinylestradiol/Drospirenone', 'Rifampicin', InteractionType.DRUG_DR",""
"3845","Mechanism, Effect","'Ethinylestradiol/Drospirenone', 'Carbamazepine', InteractionType.DRUG","'تحفيز إنزيمات الكبد',"
"3864","Management","'Ethinylestradiol/Levonorgestrel', 'Azithromycin', InteractionType.DRU",""
"3866","Effect, Management","'Ethinylestradiol/Levonorgestrel', 'Rifampicin', InteractionType.DRUG_",""
"3868","Mechanism, Effect","'Ethinylestradiol/Levonorgestrel', 'Carbamazepine', InteractionType.DR","'تحفيز إنزيمات الكبد',"
"3885","Management","'Felodipine', 'Secobarbital', InteractionType.DRUG_DRUG, InteractionSe",""
"3887","Effect, Management","'Felodipine', 'Carbamazepine', InteractionType.DRUG_DRUG, InteractionS",""
"3889","Mechanism, Effect","'Fentanyl', 'Ethanol', InteractionType.DRUG_DRUG, InteractionSeverity.","'تأثير تآزري في تثبيط الجهاز العصبي المركزي، مما يزيد من خطر"
"3898","Mechanism, Effect","'Fentanyl', 'Amiodarone', InteractionType.DRUG_DRUG, InteractionSeveri","'يثبط الأميودارون إنزيم CYP3A4 الذي يستقلب الفنتانيل، مما يؤ"
"3951","Management","'Fluconazole', 'Dexamethasone (ديكساميثازون) - راجع الكورتيكيدات', Int",""
"3953","Effect, Management","'Fluconazole', 'Grapefruit Juice (عصير الكريفون)', InteractionType.DRU",""
"3955","Mechanism, Effect","'Fluconazole', 'Atorvastatin', InteractionType.DRUG_DRUG, InteractionS","'تثبيط إنزيم CYP3A4',"
"3994","Management","'Fluoxetine', 'Phenylephrine', InteractionType.DRUG_DRUG, InteractionS",""
"3996","Effect, Management","'Fluoxetine', 'Ephedrine', InteractionType.DRUG_DRUG, InteractionSever",""
"3998","Mechanism, Effect","'Fluoxetine (Prozac)', 'Tramadol / MAOIs', InteractionType.DRUG_DRUG, ","'زيادة مفرطة في مستوى السيروتونين في الدماغ.',"
"4007","Mechanism, Effect","'Fluoxetine - فلوكسيتين', 'Carbamazepine - كاربامازيبين', InteractionT","'يثبط الفلوكسيتين استقلاب الكاربامازيبين، مما يزيد من تراكيز"
"4016","Mechanism, Effect","'Fluoxetine - فلوكسيتين', 'Phenytoin - فينيتوين', InteractionType.DRUG","'يثبط الفلوكسيتين استقلاب الفينيتوين، مما يزيد من تراكيز الف"
"4025","Mechanism, Effect","'Fluoxetine - فلوكسيتين', 'Thioridazine - ثيوريدازين', InteractionType","'يثبط الفلوكسيتين استقلاب الثيوريدازين بشكل كبير، مما يزيد ت"
"4034","Mechanism, Effect","'Fluvoxamine - فلوفوكسامين', 'Methadone - ميثادون', InteractionType.DR","'يثبط الفلوفوكسامين استقلاب الميثادون، مما يزيد من تراكيز ال"
"4043","Mechanism, Effect","'Fluvoxamine - فلوفوكسامين', 'Tacrine - تاكرين', InteractionType.DRUG_","'تزداد تراكيز التاكرين (بسبب تثبيط استقلابه)',"
"4052","Mechanism, Effect","'Fluvoxamine - فلوفوكسامين', 'Thioridazine - ثيوريدازين', InteractionT","'يثبط الفلوفوكسامين استقلاب الثيوريدازين بشكل قوي، مما يزيد "
"4061","Effect, Management","'Foscarnet (فورسيكارنت)', 'Ciclosporin (سيكلوسبورين)', InteractionType",""
"4063","Mechanism, Effect","'G6PD Deficiency (أنيميا الفول)', 'Sulfa Drugs / Aspirin / Fava Beans'","'تحفيز الأكسدة في كريات الدم الحمراء.',"
"4072","Mechanism, Effect","'Ganciclovir (غانسيكلوفير)', 'Zidovudine (زيدوفودين)', InteractionType","'تزداد خطورة السمية الدموية المهددة للحياة',"
"4081","Mechanism, Effect","'Ganciclovir / Penciclovir (غانسيكلوفير / بينسيكلوفير)', 'Probenecid (","'البروبينسيد يقلل من الإطراح الكلوي.',"
"15834","Management","'Metronidazole (ميترونيدازول)', 'Pentobarbital', InteractionType.DRUG_",""
"15836","Effect, Management","'Metronidazole (ميترونيدازول)', 'Secobarbital', InteractionType.DRUG_D",""
"15838","Mechanism, Effect","'Metronidazole (ميترونيدازول)', 'Disulfiram (ديسلفيرام)', InteractionT","'قد يحصل تخليط ذهني واضطرابات نفسية شديدة',"
"15847","Mechanism, Effect","'Metyrapone - ميتيرابون', 'Cyproheptadine - سيبروهيبتادين', Interactio","'يتناقص استجابة السريرية للميتيرابون',"
"15856","Mechanism, Effect","'Metyrapone - ميتيرابون', 'Hydantoin (Phenytoin) - هيدانتوين (فينيتوين","'تتناقص الاستجابة للميتيرابون',"
"15865","Mechanism, Effect","'Mexiletine (ميكسيليتين)', 'Hydantoins (هيدانتوينات) - مثل إيثوتوين، ف","'تتناقص تراكيز الميكسيليتين (بسبب تحفيز استقلابه الكبدي)',"
"15886","Management","'Minocycline', 'Ferrous Gluconate', InteractionType.DRUG_DRUG, Interac",""
"15888","Effect, Management","'Minocycline', 'Bismuth Salts (أملاح البزموت) - تحت ساليسيلات البزموت'",""
"15890","Mechanism, Effect","'Minocycline (مينوسيكلين)', 'Digoxin', InteractionType.DRUG_DRUG, Inte","'تزداد تراكيز الديجوكسين (تفاعل غير مباشر).',"
"15899","Mechanism, Effect","'Moricizine (موريسيزين)', 'Cimetidine (سيميتيدين)', InteractionType.DR","'تزداد تراكيز الموريزين (بسبب تثبيط استقلابه الكبدي)',"
"15908","Mechanism, Effect","'Moricizine (موريسيزين)', 'Theophylline (ثيوفيلين)', InteractionType.D","'راجع الموسعات القصبية.',"
"15917","Mechanism, Effect","'Morphine - مورفين', 'Rifamycins - ريفاميسينات', InteractionType.DRUG_","'تتناقص فعالية المورفين المسكنة للألم',"
"15944","Management","'Moxifloxacin', 'Magnesium Hydroxide', InteractionType.DRUG_DRUG, Inte",""
"15946","Effect, Management","'Moxifloxacin', 'Calcium Carbonate', InteractionType.DRUG_DRUG, Intera",""
"15948","Mechanism, Effect","'Mycophenolate Mofetil - ميكوفينوليت موفيتيل', 'Ferrous Sulfate', Inte","'تتناقص فعالية الميكوفينوليت',"
"15957","Mechanism, Effect","'Mycophenolate Mofetil - ميكوفينوليت موفيتيل', 'Ferrous Gluconate', In","'تتناقص فعالية الميكوفينوليت',"
"15966","Mechanism, Effect","'Mycophenolate Mofetil - ميكوفينوليت موفيتيل', 'Tacrolimus - تاكروليمو","'تزداد تراكيز الميكوفينوليت',"
"16113","Management","'Paroxetine', 'Cyclosporine - سيكلوسبورين', InteractionType.DRUG_DRUG,",""
"16115","Effect, Management","'Paroxetine', 'Cyproheptadine - سيبيروفتادين', InteractionType.DRUG_DR",""
"16117","Mechanism, Effect","'Paroxetine - باروكسيتين', 'Desipramine - ديسيبرامين', InteractionType","'يثبط الباروكسيتين استقلاب الديسيبرامين (TCA)، مما يزيد من ت"
"16126","Mechanism, Effect","'Paroxetine - باروكسيتين', 'Imipramine - إيميبرامين', InteractionType.","'يثبط الباروكسيتين استقلاب الإيميبرامين (TCA)، مما يزيد من ت"
"16285","Management","'Phenytoin', 'Chloramphenicol', InteractionType.DRUG_DRUG, Interaction",""
"16287","Effect, Management","'Phenytoin', 'Isoniazid', InteractionType.DRUG_DRUG, InteractionSeveri",""
"16289","Mechanism, Effect","'Phenytoin', 'Sulfonamides', InteractionType.DRUG_DRUG, InteractionSev","'تثبيط الأيض + إزاحة.',"
"16298","Effect, Management","'Phenytoin', 'Amiodarone', InteractionType.DRUG_DRUG, InteractionSever",""
"16300","Mechanism, Effect","'Phenytoin', 'Fluconazole', InteractionType.DRUG_DRUG, InteractionSeve","'تثبيط CYP2C9.',"
"16309","Mechanism, Effect","'Phenytoin', 'Theophylline', InteractionType.DRUG_DRUG, InteractionSev","'تحفيز متبادل للأيض.',"
"16332","Management","'Phenytoin', 'Betamethasone', InteractionType.DRUG_DRUG, InteractionSe",""
"16334","Effect, Management","'Phenytoin', 'Methylprednisolone', InteractionType.DRUG_DRUG, Interact",""
"16336","Mechanism, Effect","'Phenytoin', 'Aluminum Hydroxide', InteractionType.DRUG_DRUG, Interact","'تقليل الامتصاص.',"
"16345","Mechanism, Effect","'Phenytoin', 'Magnesium Hydroxide', InteractionType.DRUG_DRUG, Interac","'تقليل الامتصاص.',"
"16354","Mechanism, Effect","'Phenytoin', 'Calcium Carbonate', InteractionType.DRUG_DRUG, Interacti","'تقليل الامتصاص.',"
"16371","Management","'Pindolol (بندولول)', 'Thioridazine', InteractionType.DRUG_DRUG, Inter",""
"16373","Effect, Management","'Pindolol (بندولول)', 'Prochlorperazine', InteractionType.DRUG_DRUG, I",""
"16375","Mechanism, Effect","'Polymyxin B Sulfate', 'Antifungals', InteractionType.DRUG_DRUG, Inter","'عامل خالب',"
"16410","Management","'Prazosin', 'Propranolol', InteractionType.DRUG_DRUG, InteractionSever",""
"16412","Effect, Management","'Prazosin', 'Sotalol', InteractionType.DRUG_DRUG, InteractionSeverity.",""
"16414","Mechanism, Effect","'Prazosin', 'Verapamil', InteractionType.DRUG_DRUG, InteractionSeverit","'تأثير إضافي خافض لضغط الدم',"
"16437","Management","'Probenecid', 'Cefixime', InteractionType.DRUG_DRUG, InteractionSeveri",""
"16439","Effect, Management","'Probenecid', 'Cefotaxime', InteractionType.DRUG_DRUG, InteractionSeve",""
"16441","Mechanism, Effect","'Procainamide (بروكاييناميد)', 'Amiodarone (أميودارون)', InteractionTy","'تزداد تراكيز البروكاييناميد و N-أستيل بروكاييناميد (مستقلب "
"16450","Mechanism, Effect","'Procainamide (بروكاييناميد)', 'Cimetidine (سيميتيدين)', InteractionTy","'تزداد تراكيز البروكاييناميد و N-أستيل بروكاييناميد.',"
"16459","Mechanism, Effect","'Procainamide (بروكاييناميد)', 'Ofloxacin (أوفلوكساسين)', InteractionT","'تزداد تراكيز البروكاييناميد و N-أستيل بروكاييناميد.',"
"16482","Management","'Prochlorperazine', 'Benztropine', InteractionType.DRUG_DRUG, Interact",""
"16484","Effect, Management","'Prochlorperazine', 'Ethanol - إيثانول', InteractionType.DRUG_DRUG, In",""
"16486","Mechanism, Effect","'Prochlorperazine', 'Paroxetine - باروكسيتين', InteractionType.DRUG_DR","'تزداد فعالية الفينوثيازين (عن طريق تثبيط استقلابه) - تزداد "
"16495","Management","'Prochlorperazine', 'Propranolol - بروبرانولول', InteractionType.DRUG_",""
"16497","Effect, Management","'Prochlorperazine', 'Ciprofloxacin - سيبروفلوكساسين', InteractionType.",""
"16499","Mechanism, Effect","'Propafenone (بروبافينون)', 'Quinidine', InteractionType.DRUG_DRUG, In","'تزداد تراكيز البروبافينون (بسبب تثبيط استقلابه).',"
"16508","Mechanism, Effect","'Propafenone (بروبافينون)', 'Ritonavir (ريتونافير)', InteractionType.D","'تزداد تراكيز البروبافينون (بسبب تثبيط استقلابه).',"
"16523","Management","'Propranolol', 'Asthma (الربو)', InteractionType.DRUG_DISEASE, Interac",""
"16525","Effect, Management","'Propranolol', 'Asthma', InteractionType.DRUG_DISEASE, InteractionSeve",""
"16527","Mechanism, Effect","'Propranolol', 'Cimetidine', InteractionType.DRUG_DRUG, InteractionSev","'تقليل تصفية.',"
"16536","Mechanism, Effect","'Propranolol', 'Theophylline', InteractionType.DRUG_DRUG, InteractionS","'تثبيط أيض الثيوفيلين',"
"16549","Management","'Propranolol (بروبرانولول)', 'Thioridazine', InteractionType.DRUG_DRUG",""
"16551","Effect, Management","'Propranolol (بروبرانولول)', 'Prochlorperazine', InteractionType.DRUG_",""
"16553","Mechanism, Effect","'Pyrantel', 'Fatty Food', InteractionType.DRUG_FOOD, InteractionSeveri","'زيادة الامتصاص',"
"16562","Mechanism, Effect","'Quinidine', 'Acetazolamide / Sod. Bicarb', InteractionType.DRUG_DRUG,","'قلونة البول.',"
"16575","Management","'Quinidine', 'Pentobarbital', InteractionType.DRUG_DRUG, InteractionSe",""
"16577","Effect, Management","'Quinidine', 'Secobarbital', InteractionType.DRUG_DRUG, InteractionSev",""
"16579","Mechanism, Effect","'Quinidine', 'Cimetidine (سيميتيدين)', InteractionType.DRUG_DRUG, Inte","'تزداد تراكيز الكينيدين.',"
"16588","Mechanism, Effect","'Quinidine', 'Diltiazem (ديلتيازيم)', InteractionType.DRUG_DRUG, Inter","'تزداد تراكيز الكينيدين.',"
"16609","Management","'Quinidine', 'Ofloxacin', InteractionType.DRUG_DRUG, InteractionSeveri",""
"16611","Effect, Management","'Quinidine', 'Norfloxacin', InteractionType.DRUG_DRUG, InteractionSeve",""
"16613","Mechanism, Effect","'Quinidine', 'Rifamycins (ريفامبينات) - مثل ريفابوتين، ريفامبين', Inte","'تتناقص تراكيز الكينيدين',"
"16622","Effect, Management","'Quinidine', 'Ritonavir (ريتونافير)', InteractionType.DRUG_DRUG, Inter",""
"16624","Mechanism, Effect","'Quinidine', 'Verapamil (فيراباميل)', InteractionType.DRUG_DRUG, Inter","'تزداد تراكيز الكينيدين و تزداد خطورة اضطراب نظم القلب وهبوط"
"16633","Mechanism, Effect","'Quinidine', 'Amitriptyline (أميتربتيلين)', InteractionType.DRUG_DRUG,","'تزداد خطورة اضطراب نظم القلب، ويزداد التأثير العكس للفعالية"
"16642","Mechanism, Effect","'Quinidine', 'Opioids (كودئين، مسكنات الألم الأفيونية)', InteractionTy","'يتناقص تأثير الأفيونات',"
"16651","Mechanism, Effect","'quinine - كينين', 'Digoxin ', InteractionType.DRUG_DRUG, InteractionS","'غير مذكورة آلية محددة في الجدول',"
"16660","Mechanism, Effect","'quinine - كينين', 'Rifampin - ريفامبين', InteractionType.DRUG_DRUG, I","'تتناقص تراكيز الكينين',"
"16697","Management","'Ritonavir (ريتونافير)', 'Ketoconazole', InteractionType.DRUG_DRUG, In",""
"16699","Effect, Management","'Ritonavir (ريتونافير)', 'Voriconazole', InteractionType.DRUG_DRUG, In",""
"16701","Mechanism, Effect","'Ritonavir (ريتونافير)', 'Clozapine (كلوزابين)', InteractionType.DRUG_","'تزداد تراكيز الكلوزابين.',"
"16710","Mechanism, Effect","'Ritonavir (ريتونافير)', 'Ethinyl Estradiol (إيثينيل استراديول)', Inte","'تتناقص فعالية إيثينيل استراديول في منع الحمل.',"
"16719","Effect, Management","'Rosuvastatin', 'Gemfibrozil', InteractionType.DRUG_DRUG, InteractionS",""
"16721","Mechanism, Effect","'Salbutamol (Ventolin)', 'Hypertension / Heart Disease', InteractionTy","'تحفيز مستقبلات بيتا-2 في القلب والأوعية الدموية.',"
"16730","Mechanism, Effect","'Salicylates', 'Acetazolamide', InteractionType.DRUG_DRUG, Interaction","'زيادة نفوذية CNS.',"
"16739","Mechanism, Effect","'Saquinavir (ساكوينافير)', 'Grapefruit Juice (عصير الجريب فروت)', Inte","'تثبيط إنزيم CYP3A4.',"
"16852","Management","'Sildenafil (Viagra)', 'Isosorbide Dinitrate', InteractionType.DRUG_DR",""
"16854","Effect, Management","'Simvastatin', 'Gemfibrozil', InteractionType.DRUG_DRUG, InteractionSe",""
"16856","Mechanism, Effect","'Sirolimus - سيروليميس', 'Cyclosporine - سيكلوسبورين', InteractionType","'تزداد تراكيز السيروليميس',"
"16869","Management","'Sirolimus - سيروليميس', 'Ketoconazole', InteractionType.DRUG_DRUG, In",""
"16871","Effect, Management","'Sirolimus - سيروليميس', 'Voriconazole', InteractionType.DRUG_DRUG, In",""
"16873","Mechanism, Effect","'Sirolimus - سيروليميس', 'Diltiazem - ديلتيازيم', InteractionType.DRUG","'تزداد تراكيز السيروليميس أعراض وعلامات السمية',"
"16882","Mechanism, Effect","'Sodium Bicarbonate', 'Amphetamine', InteractionType.DRUG_DRUG, Intera","'تزيد قلوية البول وإعادة امتصاص الأمفيتامين',"
"16891","Mechanism, Effect","'Sodium Bicarbonate', 'Salicylates', InteractionType.DRUG_DRUG, Intera","'تزيد قلوية البول وزيادة نشر الساليسيلات',"
"16902","Management","'Sotalol', 'Hydrochlorothiazide', InteractionType.DRUG_DRUG, Interacti",""
"16904","Effect, Management","'Sotalol', 'Spironolactone', InteractionType.DRUG_DRUG, InteractionSev",""
"16906","Mechanism, Effect","'Spironolactone', 'Potassium Supplements', InteractionType.DRUG_DRUG, ","'تراكم.',"
"16915","Mechanism, Effect","'Spironolactone', 'Trimethoprim', InteractionType.DRUG_DRUG, Interacti","'زيادة البوتاسيوم',"
"16930","Management","'Spironolactone (Aldactone)', 'Ramipril', InteractionType.DRUG_DRUG, I",""
"16932","Effect, Management","'Spironolactone (Aldactone)', 'Perindopril', InteractionType.DRUG_DRUG",""
"16934","Mechanism, Effect","'St. Johns Wort', 'Fluoxetine', InteractionType.DRUG_DRUG, Interaction","'زيادة سيروتونين.',"
"16943","Mechanism, Effect","'St. Johns Wort', 'Sertraline', InteractionType.DRUG_DRUG, Interaction","'زيادة سيروتونين.',"
"16952","Mechanism, Effect","'St. Johns Wort', 'Paroxetine', InteractionType.DRUG_DRUG, Interaction","'زيادة سيروتونين.',"
"16961","Mechanism, Effect","'St. Johns Wort', 'Citalopram', InteractionType.DRUG_DRUG, Interaction","'زيادة سيروتونين.',"
"16970","Mechanism, Effect","'St. Johns Wort', 'Escitalopram', InteractionType.DRUG_DRUG, Interacti","'زيادة سيروتونين.',"
"16979","Mechanism, Effect","'St. Johns Wort', 'Digoxin / Theophylline / Warfarin', InteractionType","'تحفيز P-gp و CYP.',"
"17004","Management","'Tacrolimus - تاكروليموس', 'Ketoconazole', InteractionType.DRUG_DRUG, ",""
"17006","Effect, Management","'Tacrolimus - تاكروليموس', 'Voriconazole', InteractionType.DRUG_DRUG, ",""
"17008","Mechanism, Effect","'Tacrolimus - تاكروليموس', 'Caspofungin - كاسبوفونجين', InteractionTyp","'تتناقص تراكيز التاكروليموس',"
"17017","Effect, Management","'Tacrolimus - تاكروليموس', 'Diltiazem - ديلتيازيم', InteractionType.DR",""
"17019","Mechanism, Effect","'Tacrolimus - تاكروليموس', 'Hydantoins - هيدانتوينات', InteractionType","'تتناقص تراكيز التاكروليموس - تزداد تراكيز الفينيتوين',"
"17030","Management","'Tacrolimus - تاكروليموس', 'Clarithromycin', InteractionType.DRUG_DRUG",""
"17032","Effect, Management","'Tacrolimus - تاكروليموس', 'Azithromycin', InteractionType.DRUG_DRUG, ",""
"17034","Mechanism, Effect","'Tacrolimus - تاكروليموس', 'Mycophenolate Mofetil - ميكوفينوليت موفيتي","'غير مذكورة آلية محددة في الجدول',"
"17043","Effect, Management","'Tacrolimus ', 'Nifedipine ', InteractionType.DRUG_DRUG, InteractionSe",""
"17045","Mechanism, Effect","'Tacrolimus - تاكروليموس', 'Rifamycins - ريفاميسينات', InteractionType","'تتناقص تراكيز التاكروليموس',"
"17058","Management","'Telaprevir (تيلابريفير)', 'Ketoconazole', InteractionType.DRUG_DRUG, ",""
"17060","Effect, Management","'Telaprevir (تيلابريفير)', 'Voriconazole', InteractionType.DRUG_DRUG, ",""
"17062","Mechanism, Effect","'Telaprevir (تيلابريفير)', 'Ethinyl Estradiol (إيثينيل استراديول)', In","'تتناقص فعالية إيثينيل استراديول في منع الحمل.',"
"17071","Mechanism, Effect","'Telaprevir (تيلابريفير)', 'Rifamycins (ريفاميسينات) - ريفابوتين، ريفا","'تتناقص تراكيز تيلابريفير',"
"17110","Management","'Tetracycline', 'Ferrous Gluconate', InteractionType.DRUG_DRUG, Intera",""
"17112","Effect, Management","'Tetracycline', 'Bismuth Salts (أملاح البزموت) - تحت ساليسيلات البزموت",""
"17114","Mechanism, Effect","'Tetracycline / Doxycycline', 'Dairy Products (Milk/Yogurt/Cheese)', I","'الكالسيوم يرتبط بالدواء ويشكل معقداً غير قابل للامتصاص (Che"
